Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Nikola Jokic,9.5,113,-147,,,,49.5,-114,-114,11.5,-147,114,0.5,-122,-106
Jamal Murray,7.5,-103,-125,,,,36.5,-118,-110,3.5,-141,109,2.5,104,-135
Aaron Gordon,2.5,-130,100,,,,24.5,-118,-110,6.5,-125,-103,0.5,120,-156
Kentavious Caldwell-Pope,2.5,112,-145,,,,14.5,-123,-105,2.5,-141,109,1.5,134,-175
Buddy Hield,3.5,122,-159,,,,21.5,-102,-127,3.5,-111,-116,2.5,-156,121
Pascal Siakam,4.5,-114,-114,,,,31.5,-109,-119,5.5,-114,-114,1.5,158,-208
Reggie Jackson,3.5,-109,-119,,,,14.5,-109,-119,1.5,-169,130,0.5,-189,143
Myles Turner,,,,,,,23.5,-108,-120,6.5,113,-147,1.5,149,-196
Aaron Nesmith,,,,,,,15.5,100,-130,3.5,-101,-128,1.5,-130,100
Michael Porter Jr.,,,,,,,23.5,-116,-111,6.5,103,-133,2.5,-116,-111
Christian Braun,,,,,,,9.5,-130,100,3.5,113,-147,0.5,109,-141
Peyton Watson,,,,,,,9.5,-112,-115,2.5,-123,-105,0.5,-130,100
Spencer Dinwiddie,5.5,-135,104,,,,22.5,100,-130,2.5,-169,130,2.5,149,-196
Jalen Brunson,7.5,-135,104,,,,40.5,-115,-112,3.5,-164,125,2.5,-143,110
Mikal Bridges,3.5,-141,108,,,,29.5,-135,104,4.5,-128,-101,2.5,-101,-128
Cameron Johnson,2.5,103,-133,,,,18.5,-118,-110,3.5,-115,-112,2.5,110,-143
Donte DiVincenzo,2.5,-145,111,,,,20.5,-108,-120,3.5,-139,107,2.5,-164,125
Cameron Thomas,2.5,136,-179,,,,22.5,-103,-125,2.5,117,-152,1.5,-141,108
Dennis Smith Jr.,3.5,-123,-105,,,,13.5,-103,-125,2.5,-135,104,0.5,-103,-125
Julius Randle,5.5,113,-147,,,,40.5,100,-130,9.5,-130,100,2.5,112,-145
Nicolas Claxton,,,,,,,26.5,-119,-109,11.5,103,-133,,,
OG Anunoby,,,,,,,20.5,-123,-105,4.5,-147,113,1.5,-147,113
Dorian Finney-Smith,,,,,,,13.5,-114,-114,4.5,-108,-120,1.5,-120,-108
Lonnie Walker IV,,,,,,,11.5,100,-130,1.5,104,-135,1.5,-103,-125
Royce O'Neale,,,,,,,,,,3.5,115,-149,1.5,144,-189
Brandon Ingram,6.5,112,-145,,,,31.5,-109,-119,4.5,-123,-105,1.5,-110,-118
Zion Williamson,4.5,-167,128,,,,35.5,-112,-115,5.5,-135,104,,,
CJ McCollum,4.5,-167,128,,,,27.5,-122,-106,4.5,113,-147,2.5,-156,120
Kelly Olynyk,3.5,115,-159,,,,14.5,109,-141,3.5,-135,105,0.5,100,-130
Collin Sexton,5.5,118,-154,,,,29.5,-108,-120,2.5,-118,-110,1.5,-111,-116
Jonas Valanciunas,,,,,,,22.5,-123,-105,8.5,-116,-111,0.5,139,-182
Simone Fontecchio,,,,,,,13.5,-119,-109,3.5,115,-149,1.5,-145,112
Lauri Markkanen,,,,,,,35.5,-115,-112,8.5,-145,112,2.5,-152,117
Herbert Jones,,,,,,,14.5,-112,-115,2.5,-167,127,1.5,170,-227
Trey Murphy III,,,,,,,16.5,-114,-114,2.5,-143,110,2.5,-108,-120
John Collins,,,,,,,17.5,-112,-115,5.5,-123,-105,0.5,-217,164
Jalen Williams,4.5,106,-145,,,,28.5,-111,-123,4.5,114,-157,1.5,102,-139
Anfernee Simons,4.5,-111,-123,,,,29.5,-111,-123,3.5,126,-174,3.5,-101,-135
Shai Gilgeous-Alexander,5.5,-154,112,,,,43.5,-113,-121,5.5,-131,-104,0.5,-214,152
Deandre Ayton,0.5,-199,143,,,,21.5,-115,-119,8.5,-131,-104,,,
Malcolm Brogdon,5.5,-139,102,,,,27.5,-111,-123,4.5,116,-160,2.5,129,-179
Luguentz Dort,1.5,146,-204,,,,16.5,-127,-108,3.5,-157,114,1.5,-166,120
Josh Giddey,4.5,-123,-111,,,,22.5,-142,104,6.5,-131,-104,0.5,-244,172
Chet Holmgren,3.5,129,-179,,,,27.5,-129,-106,7.5,-109,-125,1.5,-133,-103
Jabari Walker,1.5,165,-234,,,,17.5,-119,-115,7.5,104,-142,0.5,118,-163
Jerami Grant,2.5,100,-137,,,,25.5,-115,-119,3.5,-133,-103,1.5,-142,104
Kenrich Williams,,,,,,,,,,3.5,-103,-133,0.5,-115,-119
Cason Wallace,,,,,,,,,,,,,0.5,-199,143
Isaiah Joe,,,,,,,,,,,,,1.5,-142,104
Anthony Davis Jr.,4.5,110,-143,,,,44.5,-116,-111,12.5,-125,-103,0.5,233,-323
Paul George,2.5,-156,120,,,,33.5,-120,-108,5.5,-141,109,3.5,-125,-103
Kawhi Leonard,3.5,-118,-110,,,,34.5,-122,-106,6.5,115,-149,1.5,-185,142
Austin Reaves,6.5,110,-143,,,,27.5,-110,-118,3.5,-152,117,1.5,-112,-115
D'Angelo Russell,7.5,100,-130,,,,29.5,-116,-111,2.5,-133,103,2.5,-111,-116
James Harden,8.5,-164,125,,,,31.5,-112,-115,4.5,-123,-104,2.5,-118,-110
Russell Westbrook,4.5,-125,-103,,,,22.5,-108,-120,5.5,-103,-125,0.5,-147,114
Terance Mann,,,,,,,12.5,-103,-125,2.5,-152,117,1.5,161,-213
Taurean Prince,,,,,,,14.5,-116,-111,2.5,-133,103,2.5,139,-182
Norman Powell,,,,,,,15.5,-112,-115,2.5,112,-145,1.5,-169,130
Mason Plumlee,,,,,,,17.5,100,-130,7.5,104,-135,,,
