Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Joel Embiid,5.5,-103,-125,,,,54.5,-111,-116,11.5,-141,108,0.5,-208,159
Tobias Harris,3.5,-119,-109,,,,26.5,-111,-116,5.5,-103,-125,1.5,134,-175
Tyrese Maxey,7.5,126,-164,,,,39.5,-103,-125,3.5,106,-137,3.5,106,-137
Pascal Siakam,4.5,106,-137,,,,31.5,-108,-120,6.5,-110,-118,0.5,-227,169
Buddy Hield,2.5,-112,-115,,,,19.5,-112,-115,3.5,-147,114,2.5,-141,108
Nicolas Batum,2.5,-130,101,,,,14.5,-118,-110,4.5,-127,-102,1.5,136,-179
Myles Turner,,,,,,,24.5,-110,-118,5.5,-152,117,1.5,134,-175
Aaron Nesmith,,,,,,,16.5,-123,-105,3.5,-145,111,1.5,-154,118
Deni Avdija,3.5,-159,122,,,,24.5,-119,-109,5.5,-147,113,1.5,178,-238
Kyle Kuzma,4.5,-135,104,,,,32.5,-111,-116,6.5,-128,-101,2.5,136,-179
Collin Sexton,5.5,-111,-116,,,,31.5,-116,-111,2.5,-169,130,1.5,-127,-102
Tyus Jones,6.5,-149,115,,,,22.5,-114,-114,2.5,-141,109,1.5,110,-143
Kris Dunn,5.5,113,-147,,,,13.5,-115,-112,2.5,-179,137,0.5,117,-152
Jordan Clarkson,4.5,-154,119,,,,28.5,-105,-123,3.5,-120,-108,1.5,-159,122
Kelly Olynyk,3.5,118,-154,,,,14.5,-109,-119,3.5,-143,110,0.5,112,-145
Jordan Poole,3.5,132,-172,,,,21.5,-120,-108,2.5,136,-179,1.5,-147,114
Daniel Gafford,,,,,,,18.5,-119,-109,6.5,-123,-105,,,
Lauri Markkanen,,,,,,,36.5,-112,-115,9.5,-108,-120,2.5,-123,-105
John Collins,,,,,,,21.5,-115,-112,6.5,-135,105,0.5,-208,159
Simone Fontecchio,,,,,,,16.5,102,-132,3.5,-147,113,1.5,-175,135
Walker Kessler,,,,,,,16.5,-154,118,7.5,-123,-105,,,
Jayson Tatum,4.5,-122,-106,,,,39.5,-110,-118,8.5,107,-139,2.5,-118,-110
Bam Adebayo,4.5,106,-137,,,,35.5,-109,-119,10.5,-122,-106,,,
Jaylen Brown,3.5,117,-152,,,,31.5,-110,-118,5.5,-105,-123,2.5,152,-200
Derrick White,4.5,128,-167,,,,22.5,-111,-116,3.5,-122,-106,2.5,104,-135
Jrue Holiday,4.5,102,-132,,,,22.5,-108,-120,5.5,-111,-116,1.5,-141,109
Jimmy Butler III,4.5,103,-133,,,,28.5,-130,100,4.5,-135,104,0.5,-135,105
Tyler Herro,3.5,106,-137,,,,27.5,-111,-116,5.5,109,-141,2.5,-161,124
Kristaps Porzingis,,,,,,,26.5,-112,-115,6.5,-143,110,1.5,-154,119
Al Horford,,,,,,,7.5,100,-130,5.5,-145,112,,,
Sam Hauser,,,,,,,5.5,-132,102,,,,1.5,-130,100
Karl-Anthony Towns,3.5,128,-167,,,,36.5,-109,-119,8.5,-102,-127,2.5,100,-130
Mikal Bridges,3.5,-116,-111,,,,31.5,-143,110,4.5,-141,109,2.5,-120,-108
Anthony Edwards,5.5,100,-130,,,,38.5,-103,-125,4.5,-156,120,2.5,100,-130
Cameron Johnson,2.5,106,-137,,,,19.5,-108,-120,3.5,-135,104,2.5,118,-154
Spencer Dinwiddie,5.5,109,-141,,,,19.5,-108,-120,2.5,-123,-104,1.5,-161,123
Cameron Thomas,2.5,136,-179,,,,21.5,-108,-120,2.5,113,-147,1.5,-130,100
Royce O'Neale,2.5,144,-189,,,,,,,3.5,-103,-125,1.5,144,-189
Dennis Smith Jr.,3.5,-143,110,,,,14.5,-118,-110,2.5,-149,115,0.5,-103,-125
Mike Conley,6.5,-137,106,,,,19.5,-109,-119,2.5,104,-135,1.5,-185,142
Nicolas Claxton,,,,,,,25.5,-108,-120,11.5,106,-137,,,
Dorian Finney-Smith,,,,,,,13.5,-118,-110,4.5,-106,-122,1.5,-115,-112
Rudy Gobert,,,,,,,29.5,110,-143,13.5,104,-135,,,
Lonnie Walker IV,,,,,,,9.5,-103,-125,1.5,115,-149,1.5,117,-152
Jamal Murray,7.5,117,-152,,,,36.5,100,-130,3.5,-122,-106,2.5,-108,-120
Julius Randle,4.5,-169,130,,,,39.5,103,-133,8.5,-123,-104,2.5,134,-175
Nikola Jokic,8.5,-139,107,,,,47.5,-114,-114,11.5,-110,-118,0.5,-169,129
Aaron Gordon,2.5,100,-130,,,,21.5,-116,-111,5.5,-114,-114,0.5,128,-167
