Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Jalen Brunson,7.5,120,-156,,,,38.5,-123,-104,3.5,107,-139,2.5,-141,109
Donte DiVincenzo,2.5,-103,-125,,,,18.5,-109,-119,3.5,112,-145,2.5,-135,105
Reggie Jackson,3.5,134,-175,,,,13.5,100,-130,1.5,-118,-110,0.5,-204,155
Kentavious Caldwell-Pope,,,,,,,14.5,-108,-120,2.5,-103,-125,1.5,106,-137
OG Anunoby,,,,,,,20.5,-111,-116,4.5,-119,-109,1.5,-115,-112
Michael Porter Jr.,,,,,,,21.5,-109,-119,5.5,-125,-103,2.5,-101,-128
Peyton Watson,,,,,,,8.5,-108,-120,2.5,144,-189,0.5,100,-130
Christian Braun,,,,,,,7.5,-118,-110,2.5,118,-154,0.5,152,-200
Stephen Curry,5.5,-154,118,,,,36.5,-133,103,3.5,-159,122,4.5,113,-147
Klay Thompson,2.5,110,-143,,,,25.5,-118,-110,3.5,-109,-119,3.5,-141,109
Domantas Sabonis,8.5,-105,-123,,,,43.5,-106,-122,13.5,-106,-122,0.5,161,-213
Kevin Huerter,2.5,-102,-127,,,,16.5,-123,-105,3.5,-108,-120,2.5,141,-185
Malik Monk,5.5,106,-137,,,,24.5,-115,-112,2.5,-156,121,2.5,109,-141
De'Aaron Fox,5.5,-109,-119,,,,36.5,-110,-118,4.5,122,-159,2.5,-143,110
Andrew Wiggins,,,,,,,19.5,-108,-120,4.5,106,-137,0.5,-250,185
Keegan Murray,,,,,,,23.5,-108,-120,5.5,-135,104,2.5,118,-154
Trey Lyles,,,,,,,11.5,-103,-125,4.5,-108,-120,0.5,-227,170
Harrison Barnes,,,,,,,14.5,-114,-114,2.5,-135,105,1.5,107,-139
LeBron James,7.5,112,-145,,,,40.5,-116,-111,7.5,100,-130,2.5,117,-152
Anthony Davis Jr.,3.5,-123,-105,,,,43.5,-122,-106,12.5,-130,101,0.5,204,-278
Coby White,5.5,103,-133,,,,32.5,-123,-105,5.5,115,-149,2.5,-123,-105
Nikola Vucevic,3.5,-141,108,,,,33.5,-120,-108,12.5,115,-149,1.5,113,-147
DeMar DeRozan,5.5,100,-130,,,,32.5,-120,-108,4.5,-101,-128,0.5,-227,171
Alex Caruso,2.5,-161,124,,,,17.5,-103,-125,3.5,-108,-120,1.5,-141,108
Ayo Dosunmu,2.5,-108,-120,,,,15.5,-123,-105,2.5,-156,121,0.5,-227,171
Patrick Williams,,,,,,,16.5,-123,-105,3.5,-149,115,1.5,-118,-110
Andre Drummond,,,,,,,14.5,-119,-109,7.5,109,-141,,,
