Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Stephen Curry,5.5,104,-135,,,,37.5,-108,-120,3.5,-156,121,3.5,-161,123
Draymond Green,5.5,-143,110,,,,18.5,-125,-103,5.5,-125,-103,0.5,126,-164
Klay Thompson,2.5,115,-149,,,,23.5,-103,-125,3.5,122,-159,2.5,-172,131
Pascal Siakam,3.5,-164,126,,,,33.5,-105,-123,6.5,-130,100,1.5,155,-204
Jonathan Kuminga,2.5,-108,-120,,,,28.5,-125,-103,5.5,-125,-103,0.5,-182,138
Tyrese Haliburton,8.5,-103,-125,,,,30.5,-143,110,3.5,-102,-127,2.5,-139,107
Myles Turner,,,,,,,25.5,-122,-106,7.5,102,-132,1.5,109,-141
Aaron Nesmith,,,,,,,20.5,-109,-119,4.5,-130,101,2.5,115,-149
Andrew Wiggins,,,,,,,18.5,-114,-114,4.5,100,-130,0.5,-161,124
Markelle Fultz,3.5,-154,118,,,,18.5,-116,-111,3.5,117,-152,,,
Tre Jones,7.5,112,-145,,,,21.5,-103,-125,3.5,-101,-128,0.5,-122,-106
Devin Vassell,3.5,-147,113,,,,27.5,-103,-125,3.5,-133,103,2.5,100,-130
Franz Wagner,3.5,-164,125,,,,29.5,-119,-109,5.5,100,-130,1.5,-118,-110
Jeremy Sochan,2.5,-147,113,,,,20.5,-109,-119,5.5,-135,105,0.5,-192,145
Jalen Suggs,2.5,120,-156,,,,16.5,-122,-106,3.5,-101,-128,1.5,-122,-106
Paolo Banchero,5.5,100,-130,,,,37.5,-116,-111,7.5,-116,-111,1.5,-105,-123
Victor Wembanyama,3.5,126,-164,,,,35.5,-109,-119,10.5,-114,-114,1.5,110,-143
Wendell Carter Jr.,,,,,,,21.5,-116,-111,7.5,-128,-101,1.5,174,-233
Julian Champagnie,,,,,,,8.5,-110,-118,2.5,-102,-127,0.5,-244,181
Spencer Dinwiddie,5.5,103,-133,,,,20.5,-118,-110,3.5,128,-167,1.5,-119,-109
