Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Trae Young,10.5,-119,-109,,,,38.5,-122,-106,2.5,-109,-119,2.5,-145,111
Tyrese Maxey,7.5,120,-156,,,,39.5,-109,-119,3.5,-105,-123,3.5,130,-169
Tobias Harris,4.5,-114,-114,,,,34.5,-119,-109,6.5,-116,-111,1.5,112,-145
Paul Reed,2.5,115,-149,,,,21.5,-114,-114,8.5,-120,-108,0.5,270,-385
Jalen Johnson,3.5,-120,-108,,,,28.5,-123,-105,9.5,110,-143,1.5,149,-196
Dejounte Murray,5.5,113,-147,,,,31.5,-123,-105,4.5,-141,109,1.5,-189,144
Kelly Oubre Jr.,,,,,,,24.5,100,-130,5.5,128,-167,1.5,-167,128
Saddiq Bey,,,,,,,22.5,-118,-110,6.5,-102,-127,1.5,-167,128
Onyeka Okongwu,,,,,,,24.5,-125,-103,9.5,120,-156,0.5,136,-179
Deni Avdija,3.5,-109,-119,,,,24.5,-103,-125,7.5,110,-143,0.5,-182,138
Tyus Jones,7.5,115,-149,,,,21.5,-110,-118,2.5,-164,126,1.5,128,-167
Jayson Tatum,4.5,100,-130,,,,41.5,-112,-115,9.5,-106,-122,2.5,-175,135
Kyle Kuzma,3.5,-112,-115,,,,33.5,-103,-125,7.5,-102,-127,2.5,107,-139
Jordan Poole,2.5,-172,133,,,,19.5,-119,-109,2.5,122,-159,1.5,-130,100
Jakob Poeltl,2.5,100,-130,,,,24.5,-116,-111,9.5,-128,-101,,,
Alperen Sengun,5.5,-143,110,,,,41.5,-109,-119,10.5,106,-137,0.5,136,-179
Scottie Barnes,6.5,122,-159,,,,34.5,-105,-123,6.5,-147,113,1.5,104,-135
Jalen Green,3.5,-135,104,,,,29.5,-110,-118,4.5,113,-147,1.5,-159,122
Amen Thompson,5.5,110,-143,,,,27.5,105,-135,7.5,-137,106,0.5,136,-179
RJ Barrett,3.5,-135,105,,,,31.5,-115,-112,6.5,105,-135,1.5,112,-145
Immanuel Quickley,6.5,-114,-114,,,,28.5,100,-130,3.5,-116,-111,2.5,106,-137
Gary Trent Jr.,,,,,,,16.5,-105,-123,2.5,128,-167,2.5,102,-132
Dillon Brooks,,,,,,,18.5,-112,-115,3.5,112,-145,1.5,-122,-106
Jabari Smith,,,,,,,22.5,-114,-114,7.5,-130,100,1.5,110,-143
Brandon Miller,3.5,122,-159,,,,33.5,-114,-114,4.5,-114,-114,3.5,-164,126
Miles Bridges,4.5,-103,-125,,,,38.5,110,-143,7.5,110,-143,2.5,-135,104
Cody Martin,5.5,105,-135,,,,20.5,-120,-108,4.5,122,-159,1.5,110,-143
Giannis Antetokounmpo,7.5,104,-135,,,,52.5,-103,-125,11.5,-118,-110,0.5,-105,-123
Damian Lillard,7.5,112,-145,,,,38.5,-108,-120,3.5,-167,128,3.5,-118,-110
Nick Richards,,,,,,,22.5,110,-143,8.5,-116,-111,,,
Jamal Murray,7.5,-106,-122,,,,35.5,-111,-116,3.5,-156,120,2.5,-130,101
Nikola Jokic,8.5,-135,104,,,,49.5,-118,-110,12.5,-109,-119,1.5,178,-238
Domantas Sabonis,8.5,-127,-102,,,,41.5,-118,-110,13.5,103,-133,0.5,136,-179
Kevin Huerter,3.5,120,-156,,,,20.5,110,-143,3.5,-152,116,2.5,115,-149
De'Aaron Fox,4.5,100,-130,,,,32.5,-114,-114,3.5,100,-130,2.5,115,-149
Harrison Barnes,,,,,,,16.5,-112,-115,2.5,-137,106,1.5,-147,113
Keegan Murray,,,,,,,19.5,-114,-114,4.5,103,-133,2.5,144,-189
Kentavious Caldwell-Pope,,,,,,,14.5,-108,-120,2.5,120,-156,1.5,103,-133
CJ McCollum,4.5,-135,105,,,,31.5,-111,-116,4.5,104,-135,3.5,-152,117
Brandon Ingram,6.5,-118,-110,,,,36.5,-112,-115,5.5,-112,-115,1.5,100,-130
LeBron James,8.5,104,-135,,,,40.5,-114,-114,6.5,-145,112,1.5,-164,126
Anthony Davis Jr.,4.5,115,-149,,,,42.5,-123,-104,12.5,100,-130,,,
