Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Giannis Antetokounmpo,6.5,-130,101,,,,49.5,-115,-112,12.5,-111,-116,0.5,136,-179
Damian Lillard,6.5,106,-137,,,,34.5,-130,100,3.5,-147,113,2.5,-154,119
Brook Lopez,,,,,,,18.5,-116,-111,5.5,-111,-116,1.5,-161,123
Malik Beasley,,,,,,,17.5,-103,-125,3.5,-118,-110,2.5,-167,128
Bobby Portis Jr.,,,,,,,22.5,-103,-125,7.5,-135,104,1.5,161,-213
Jae Crowder,,,,,,,7.5,-132,102,3.5,-127,-102,1.5,118,-154
Stephen Curry,5.5,-141,109,,,,40.5,-110,-118,4.5,112,-145,5.5,-114,-114
Draymond Green,6.5,-130,100,,,,23.5,-114,-114,7.5,-112,-115,0.5,-123,-105
Klay Thompson,2.5,141,-185,,,,21.5,-109,-119,2.5,-169,129,2.5,-172,133
Jonathan Kuminga,2.5,-156,121,,,,29.5,-103,-125,6.5,117,-152,0.5,-128,-101
Collin Sexton,5.5,117,-152,,,,26.5,-123,-105,2.5,-128,-101,1.5,-133,103
Keyonte George,5.5,109,-141,,,,22.5,-105,-123,3.5,120,-156,1.5,-182,139
Jordan Clarkson,3.5,-156,121,,,,24.5,-114,-114,3.5,128,-167,2.5,149,-196
Kris Dunn,3.5,106,-137,,,,11.5,-112,-115,2.5,-115,-112,0.5,-105,-123
Talen Horton-Tucker,2.5,-137,106,,,,13.5,-106,-122,2.5,109,-141,0.5,-143,110
Brandin Podziemski,4.5,-132,102,,,,22.5,-112,-115,5.5,-145,111,1.5,126,-164
Andrew Wiggins,,,,,,,19.5,-105,-123,4.5,-110,-118,1.5,174,-233
Lauri Markkanen,,,,,,,32.5,-123,-105,8.5,-118,-110,2.5,-152,117
Walker Kessler,,,,,,,19.5,-122,-106,8.5,-108,-120,,,
John Collins,,,,,,,25.5,-118,-110,8.5,-132,102,0.5,-192,147
Anfernee Simons,5.5,110,-143,,,,30.5,-109,-119,2.5,-141,109,3.5,-101,-128
Anthony Edwards,5.5,106,-137,,,,37.5,-108,-120,4.5,-139,107,3.5,132,-172
Jerami Grant,2.5,-154,119,,,,26.5,-118,-110,3.5,107,-139,1.5,-154,119
Karl-Anthony Towns,2.5,-119,-109,,,,31.5,-122,-106,7.5,113,-147,1.5,-200,152
Mike Conley,6.5,-105,-123,,,,18.5,-120,-108,2.5,-105,-123,1.5,-182,138
Scoot Henderson,4.5,-149,115,,,,20.5,-103,-125,2.5,-130,101,1.5,152,-200
Rudy Gobert,,,,,,,29.5,-109,-119,13.5,100,-130,,,
Deandre Ayton,,,,,,,27.5,-103,-125,9.5,-130,100,,,
Jaden McDaniels,,,,,,,13.5,-120,-108,2.5,-122,-106,1.5,152,-200
Naz Reid,,,,,,,16.5,-108,-120,4.5,-105,-123,1.5,-101,-128
