Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Jalen Green,4.5,115,-149,,,,30.5,-119,-109,4.5,106,-137,1.5,-164,126
Alperen Sengun,5.5,-128,-101,,,,38.5,-118,-110,9.5,-123,-105,0.5,139,-182
Tyrese Haliburton,6.5,-137,106,,,,23.5,-116,-111,2.5,-135,105,2.5,146,-192
Andrew Nembhard,4.5,-118,-110,,,,18.5,115,-149,2.5,118,-154,0.5,-233,175
Pascal Siakam,3.5,-169,130,,,,32.5,-109,-119,6.5,-128,-101,0.5,-213,161
Myles Turner,,,,,,,23.5,-130,100,7.5,105,-135,1.5,155,-204
Jabari Smith,,,,,,,20.5,-120,-108,6.5,-149,115,1.5,146,-192
Aaron Nesmith,,,,,,,20.5,-123,-105,4.5,-139,107,2.5,132,-172
Dillon Brooks,,,,,,,18.5,-109,-119,3.5,122,-159,1.5,102,-132
Luka Doncic,8.5,-120,-108,,,,52.5,-108,-120,9.5,-120,-108,3.5,-125,-103
Josh Green,2.5,128,-167,,,,17.5,-116,-111,4.5,109,-141,1.5,-143,110
Kyrie Irving,5.5,-106,-122,,,,35.5,-115,-112,5.5,106,-137,2.5,-110,-118
Jalen Brunson,7.5,100,-130,,,,44.5,-114,-114,3.5,-161,124,2.5,-110,-118
Donte DiVincenzo,3.5,-133,103,,,,30.5,-122,-106,4.5,-123,-105,4.5,-139,107
Isaiah Hartenstein,2.5,-105,-123,,,,24.5,-111,-116,11.5,-154,118,,,
Josh Hart,4.5,-114,-114,,,,26.5,-116,-111,9.5,100,-130,1.5,158,-208
Precious Achiuwa,,,,,,,24.5,100,-130,9.5,-128,-101,0.5,-112,-115
Bam Adebayo,3.5,-135,104,,,,31.5,-122,-106,10.5,-103,-125,,,
Jimmy Butler III,3.5,-159,122,,,,27.5,-130,100,4.5,-110,-118,0.5,-175,135
Markelle Fultz,3.5,115,-149,,,,15.5,-114,-114,2.5,-130,100,,,
Tyler Herro,3.5,-130,100,,,,25.5,-109,-119,4.5,109,-141,2.5,-145,111
Franz Wagner,3.5,-167,128,,,,29.5,-111,-116,4.5,-154,119,1.5,-110,-118
Jalen Suggs,2.5,136,-179,,,,15.5,-119,-109,3.5,110,-143,1.5,-123,-105
Paolo Banchero,4.5,-154,118,,,,33.5,-110,-118,6.5,-108,-120,1.5,115,-149
Terry Rozier,4.5,-141,108,,,,22.5,-127,-102,3.5,124,-161,1.5,-145,111
Wendell Carter Jr.,,,,,,,19.5,-143,110,7.5,-109,-119,0.5,-208,157
Haywood Highsmith,,,,,,,6.5,-103,-125,2.5,141,-185,0.5,-118,-110
Jaime Jaquez,,,,,,,15.5,100,-130,3.5,109,-141,0.5,-118,-110
Karl-Anthony Towns,2.5,-172,131,,,,33.5,-111,-116,7.5,-111,-116,1.5,-175,134
Anthony Edwards,5.5,112,-145,,,,36.5,-111,-116,4.5,-119,-109,2.5,100,-130
Coby White,4.5,-147,113,,,,31.5,-123,-104,4.5,-105,-123,2.5,-141,109
Nikola Vucevic,3.5,130,-169,,,,28.5,-119,-109,9.5,-128,-101,0.5,-217,165
DeMar DeRozan,4.5,-145,111,,,,32.5,-115,-112,3.5,-169,129,0.5,-217,163
Ayo Dosunmu,3.5,113,-147,,,,19.5,-130,100,3.5,-105,-123,1.5,-114,-114
Alex Caruso,3.5,130,-169,,,,18.5,-105,-123,3.5,-132,102,1.5,-159,122
Mike Conley,6.5,100,-130,,,,18.5,-122,-106,2.5,112,-145,2.5,144,-189
Jaden McDaniels,,,,,,,14.5,-130,100,2.5,-161,124,1.5,125,-164
Rudy Gobert,,,,,,,28.5,-118,-110,13.5,-120,-108,,,
Naz Reid,,,,,,,16.5,-103,-125,4.5,-109,-119,1.5,-112,-115
Nickeil Alexander-Walker,,,,,,,9.5,-123,-105,1.5,-108,-120,1.5,126,-164
Chet Holmgren,2.5,-130,101,,,,28.5,-119,-109,7.5,-116,-111,1.5,-145,112
Collin Sexton,5.5,-112,-115,,,,28.5,-116,-111,2.5,-123,-104,1.5,-123,-104
Jordan Clarkson,4.5,-125,-103,,,,23.5,-112,-115,2.5,-123,-104,1.5,-119,-109
Kelly Olynyk,3.5,-118,-110,,,,15.5,-103,-125,4.5,-123,-105,0.5,-103,-125
Keyonte George,2.5,-125,-103,,,,16.5,-111,-116,2.5,-106,-122,1.5,-122,-106
Shai Gilgeous-Alexander,6.5,-149,115,,,,44.5,-109,-119,5.5,-105,-123,1.5,146,-192
Lauri Markkanen,2.5,152,-200,,,,35.5,-103,-125,8.5,-119,-109,3.5,118,-154
John Collins,,,,,,,23.5,-118,-110,7.5,-139,107,0.5,-238,179
Simone Fontecchio,,,,,,,13.5,-143,110,3.5,-132,102,1.5,-125,-103
Walker Kessler,,,,,,,15.5,-112,-115,6.5,-112,-115,,,
Luguentz Dort,,,,,,,17.5,-109,-119,4.5,134,-175,2.5,141,-185
Khris Middleton,5.5,-132,102,,,,27.5,-123,-105,4.5,102,-132,2.5,134,-175
Brook Lopez,2.5,112,-145,,,,20.5,-114,-114,5.5,104,-135,2.5,124,-161
Giannis Antetokounmpo,6.5,-119,-109,,,,50.5,-109,-119,10.5,-110,-118,0.5,106,-137
Devin Booker,5.5,-145,112,,,,38.5,-125,-103,4.5,-109,-119,2.5,-109,-119
Kevin Durant,5.5,103,-133,,,,37.5,-114,-114,6.5,-106,-122,2.5,-105,-123
