Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Spencer Dinwiddie,5.5,-127,-102,,,,20.5,-106,-122,2.5,-141,108,1.5,-135,104
Tobias Harris,4.5,139,-182,,,,34.5,100,-130,6.5,-118,-110,1.5,118,-154
Nicolas Claxton,2.5,134,-175,,,,27.5,118,-154,12.5,106,-137,,,
Paul Reed,2.5,115,-149,,,,22.5,110,-143,9.5,100,-130,0.5,215,-294
Cameron Thomas,2.5,-123,-105,,,,29.5,-119,-109,3.5,128,-167,1.5,-179,137
Cameron Johnson,2.5,-112,-115,,,,21.5,-111,-116,4.5,-123,-105,2.5,-108,-120
Mikal Bridges,3.5,132,-172,,,,31.5,-111,-116,5.5,112,-145,2.5,-154,119
Tyrese Maxey,,,,,,,43.5,115,-149,,,,,,
Kelly Oubre Jr.,,,,,,,25.5,-110,-118,5.5,-112,-115,1.5,-133,103
Klay Thompson,2.5,102,-132,,,,25.5,-120,-108,3.5,-109,-119,3.5,-169,129
Draymond Green,7.5,-106,-122,,,,23.5,-119,-109,7.5,103,-133,0.5,-156,120
Jonathan Kuminga,2.5,-120,-108,,,,32.5,-108,-120,6.5,-116,-111,0.5,-196,150
Jalen Johnson,3.5,100,-130,,,,28.5,-114,-114,9.5,100,-130,1.5,122,-159
Dejounte Murray,5.5,-103,-125,,,,34.5,-112,-115,5.5,100,-130,2.5,-112,-115
Trae Young,11.5,-139,107,,,,43.5,-125,-103,3.5,130,-169,3.5,-109,-119
Stephen Curry,6.5,113,-147,,,,38.5,-116,-111,4.5,-110,-118,4.5,-108,-120
Clint Capela,,,,,,,23.5,-118,-110,10.5,-118,-110,,,
Andrew Wiggins,,,,,,,21.5,-114,-114,4.5,-143,110,0.5,-227,170
De'Aaron Fox,4.5,-130,100,,,,33.5,-133,103,4.5,117,-152,2.5,104,-135
Nikola Vucevic,3.5,-118,-110,,,,35.5,-112,-115,11.5,-122,-106,1.5,171,-227
DeMar DeRozan,5.5,-145,111,,,,36.5,-112,-115,4.5,-133,103,1.5,167,-222
Ayo Dosunmu,3.5,-135,104,,,,23.5,-103,-125,3.5,-141,109,1.5,-130,100
Alex Caruso,3.5,-103,-125,,,,20.5,-114,-114,4.5,110,-143,2.5,122,-159
Kevin Huerter,3.5,118,-154,,,,20.5,-114,-114,4.5,115,-149,2.5,102,-132
Domantas Sabonis,7.5,-156,120,,,,41.5,-111,-116,13.5,-112,-115,0.5,233,-323
Coby White,6.5,115,-149,,,,35.5,-112,-115,5.5,104,-135,3.5,113,-147
Malik Monk,4.5,109,-141,,,,11.5,-132,102,,,,1.5,-123,-104
Keegan Murray,,,,,,,21.5,-116,-111,5.5,100,-130,1.5,-185,141
Harrison Barnes,,,,,,,20.5,-106,-122,3.5,-149,115,2.5,134,-175
Jeremy Sochan,2.5,-147,113,,,,20.5,-112,-115,5.5,-127,-102,0.5,-167,128
Jarrett Allen,2.5,-105,-123,,,,29.5,-116,-111,11.5,-119,-109,,,
Evan Mobley,2.5,139,-182,,,,19.5,-118,-110,7.5,-101,-128,,,
Donovan Mitchell,6.5,-118,-110,,,,40.5,-111,-116,5.5,106,-137,3.5,122,-159
Max Strus,2.5,-154,119,,,,17.5,-105,-123,4.5,112,-145,1.5,-175,134
Zach Collins,2.5,130,-169,,,,15.5,-109,-119,4.5,100,-130,0.5,-112,-115
Tre Jones,6.5,-149,115,,,,10.5,-108,-120,,,,,,
Julian Champagnie,,,,,,,9.5,-103,-125,2.5,-143,110,0.5,-222,167
Cedi Osman,,,,,,,10.5,-112,-115,2.5,100,-130,0.5,-233,175
Keldon Johnson,,,,,,,20.5,-112,-115,4.5,-112,-115,1.5,118,-154
Devin Vassell,,,,,,,29.5,-110,-118,3.5,-125,-103,,,
Victor Wembanyama,,,,,,,34.5,-106,-122,,,,,,
Khris Middleton,5.5,-110,-118,,,,27.5,-118,-110,4.5,-118,-110,1.5,-147,113
Giannis Antetokounmpo,5.5,-154,118,,,,52.5,-108,-120,12.5,-123,-105,0.5,141,-185
Luka Doncic,10.5,-123,-104,,,,59.5,104,-135,9.5,-122,-106,3.5,-122,-106
Josh Green,2.5,-110,-118,,,,18.5,100,-130,3.5,-125,-103,1.5,-101,-128
Grant Williams,2.5,132,-172,,,,14.5,-118,-110,3.5,-123,-105,1.5,-120,-108
Damian Lillard,6.5,-109,-119,,,,36.5,-116,-111,4.5,118,-154,3.5,134,-175
Brook Lopez,,,,,,,21.5,-118,-110,5.5,-133,103,1.5,-143,110
Malik Beasley,,,,,,,14.5,-101,-128,2.5,-175,135,2.5,113,-147
LeBron James,7.5,-141,109,,,,39.5,-118,-110,6.5,-145,111,1.5,-175,134
Anthony Davis Jr.,3.5,103,-133,,,,40.5,-118,-110,11.5,-112,-115,0.5,102,-132
Isaiah Hartenstein,2.5,-120,-108,,,,23.5,-118,-110,11.5,-105,-123,,,
Jalen Brunson,7.5,106,-137,,,,44.5,-115,-112,3.5,-159,122,2.5,-135,104
Josh Hart,4.5,-120,-108,,,,25.5,-112,-115,8.5,-149,115,0.5,-250,184
Donte DiVincenzo,3.5,-145,111,,,,29.5,-103,-125,4.5,-114,-114,4.5,136,-179
OG Anunoby,,,,,,,18.5,-103,-125,4.5,-108,-120,1.5,-172,133
