Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Karl-Anthony Towns,2.5,-154,118,,,,33.5,-120,-108,7.5,-108,-120,2.5,120,-156
Anthony Edwards,5.5,100,-130,,,,37.5,-103,-125,4.5,-141,109,2.5,-132,102
Anfernee Simons,5.5,104,-135,,,,30.5,-114,-114,2.5,-135,105,3.5,115,-149
Mike Conley,6.5,-114,-114,,,,19.5,-109,-119,2.5,100,-130,2.5,144,-189
Jerami Grant,2.5,-147,114,,,,27.5,-111,-116,3.5,-141,108,1.5,-125,-103
Scoot Henderson,4.5,109,-141,,,,20.5,-103,-125,2.5,-135,105,1.5,167,-222
Rudy Gobert,,,,,,,28.5,-111,-116,12.5,-118,-110,,,
Deandre Ayton,,,,,,,24.5,-110,-118,9.5,104,-135,,,
Jaden McDaniels,,,,,,,14.5,-112,-115,2.5,-127,-102,1.5,122,-159
Toumani Camara,,,,,,,11.5,-112,-115,4.5,100,-130,0.5,-103,-125
Matisse Thybulle,,,,,,,9.5,-108,-120,1.5,-169,130,1.5,152,-200
Devin Booker,5.5,-156,120,,,,39.5,-114,-114,4.5,-115,-112,2.5,130,-169
De'Aaron Fox,4.5,-154,118,,,,33.5,-130,100,3.5,-116,-111,2.5,107,-139
Domantas Sabonis,8.5,-128,-101,,,,42.5,-114,-114,13.5,-103,-125,0.5,-103,-125
Bradley Beal,5.5,130,-169,,,,29.5,-108,-120,4.5,-128,-101,1.5,-133,103
Kevin Huerter,2.5,132,-172,,,,16.5,-111,-116,3.5,118,-154,1.5,-172,133
Kevin Durant,5.5,109,-141,,,,38.5,-125,-103,6.5,-141,109,2.5,126,-164
Jusuf Nurkic,3.5,115,-149,,,,25.5,-115,-112,10.5,-108,-120,0.5,239,-333
Grayson Allen,2.5,-154,118,,,,17.5,-110,-118,3.5,-123,-104,1.5,-185,140
Keegan Murray,,,,,,,20.5,-119,-109,4.5,-145,111,1.5,-172,131
Trey Lyles,,,,,,,13.5,-105,-123,4.5,-105,-123,1.5,110,-143
Drew Eubanks,,,,,,,10.5,-108,-120,4.5,-110,-118,,,
Harrison Barnes,,,,,,,17.5,-103,-125,2.5,-125,-103,1.5,-143,110
Eric Gordon,,,,,,,11.5,-108,-120,1.5,-135,105,1.5,-123,-105
D'Angelo Russell,5.5,-114,-114,,,,27.5,-143,110,2.5,-105,-123,3.5,118,-154
LeBron James,7.5,-118,-110,,,,39.5,-116,-111,6.5,-133,103,1.5,-169,130
Austin Reaves,5.5,-123,-105,,,,25.5,-133,103,3.5,117,-152,1.5,-152,117
Anthony Davis Jr.,3.5,-116,-111,,,,39.5,-120,-108,11.5,-112,-115,0.5,122,-159
Cade Cunningham,7.5,-125,-103,,,,34.5,-105,-123,3.5,-143,110,1.5,-112,-115
Jaden Ivey,3.5,-164,126,,,,28.5,-114,-114,3.5,-154,118,2.5,139,-182
Jalen Duren,1.5,-169,130,,,,29.5,-108,-120,11.5,-149,115,,,
