Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Josh Green,2.5,-103,-125,,,,15.5,-116,-111,3.5,-123,-104,1.5,106,-137
Deni Avdija,3.5,-135,104,,,,25.5,-109,-119,7.5,-120,-108,0.5,-238,179
Kyle Kuzma,4.5,122,-159,,,,31.5,-118,-110,6.5,-108,-120,2.5,115,-149
Kyrie Irving,6.5,112,-145,,,,36.5,-122,-106,5.5,115,-149,2.5,-123,-105
Jordan Poole,4.5,130,-169,,,,20.5,-118,-110,2.5,120,-156,1.5,-123,-105
Tyus Jones,7.5,-114,-114,,,,24.5,100,-130,2.5,-147,113,1.5,-109,-119
Derrick Jones Jr.,,,,,,,14.5,-103,-125,4.5,125,-164,0.5,-179,136
Tim Hardaway Jr.,,,,,,,18.5,-112,-115,2.5,-169,130,2.5,-123,-104
Corey Kispert,,,,,,,16.5,-112,-115,2.5,-125,-103,1.5,-182,138
Daniel Gafford,,,,,,,18.5,-108,-120,6.5,-143,110,,,
Landry Shamet,,,,,,,9.5,-123,-105,1.5,104,-135,1.5,152,-200
Stephen Curry,4.5,-164,126,,,,39.5,-112,-115,4.5,107,-139,5.5,120,-156
Klay Thompson,2.5,124,-161,,,,21.5,-101,-128,2.5,-169,129,2.5,-175,135
Draymond Green,6.5,-141,109,,,,22.5,-115,-112,6.5,-147,113,0.5,-112,-115
Jonathan Kuminga,2.5,-123,-104,,,,29.5,-108,-120,5.5,-123,-105,0.5,-141,109
Collin Sexton,5.5,-114,-114,,,,28.5,-105,-123,2.5,-112,-115,1.5,-135,105
Kris Dunn,5.5,110,-143,,,,15.5,100,-130,3.5,115,-149,0.5,-135,105
Keyonte George,3.5,-161,124,,,,19.5,-118,-110,2.5,-139,107,1.5,-189,144
Andrew Wiggins,,,,,,,18.5,-114,-114,4.5,-105,-123,0.5,-217,165
Lauri Markkanen,,,,,,,34.5,-112,-115,8.5,-106,-122,3.5,115,-149
John Collins,,,,,,,26.5,-108,-120,8.5,-127,-102,1.5,146,-192
Walker Kessler,,,,,,,19.5,100,-130,8.5,104,-135,,,
Gary Payton II,,,,,,,9.5,-103,-125,2.5,-123,-105,0.5,130,-169
Karl-Anthony Towns,2.5,-119,-109,,,,31.5,-116,-111,6.5,-145,111,2.5,-111,-116
Kawhi Leonard,3.5,-141,108,,,,36.5,106,-137,6.5,107,-139,2.5,106,-137
Paul George,2.5,-169,130,,,,28.5,-125,-103,4.5,-102,-127,2.5,-172,133
Anthony Edwards,5.5,107,-139,,,,36.5,-105,-123,4.5,-152,116,3.5,146,-192
James Harden,8.5,-105,-123,,,,30.5,-112,-115,4.5,-159,122,2.5,-128,-101
Mike Conley,6.5,-105,-123,,,,19.5,-114,-114,2.5,110,-143,2.5,130,-169
Russell Westbrook,3.5,-164,125,,,,18.5,-120,-108,4.5,104,-135,0.5,-114,-114
Rudy Gobert,,,,,,,26.5,-118,-110,12.5,-123,-105,,,
Ivica Zubac,,,,,,,16.5,-111,-116,7.5,113,-147,,,
Terance Mann,,,,,,,10.5,-123,-105,2.5,-112,-115,0.5,-141,108
Norman Powell,,,,,,,15.5,-102,-127,2.5,-115,-112,1.5,-172,131
Jaden McDaniels,,,,,,,14.5,-103,-125,2.5,-109,-119,1.5,122,-159
Mason Plumlee,,,,,,,11.5,-108,-120,5.5,128,-167,,,
Amir Coffey,,,,,,,8.5,-108,-120,1.5,-112,-115,0.5,-192,145
