Name,Fantasy_Line,Turnovers_Line,Assists_Line,FT_Line,PointsAssists_Line,Points_Line,Steals_Line,BlocksSteals_Line,ReboundsAssists_Line,Threes_Line,PointsReboundsAssists_Line,Blocks_Line,PointsRebounds_Line,Rebounds_Line
Corey Kispert,,,,,,,0.5s,0.5,,2.0,16.5,,,2.5
Landry Shamet,,,,,8.5,,,,3.0,1.5s,9.5,,8.5,1.5
Derrick Jones Jr.,,,,,,,,,5.5,,14.5,0.5,,
Stephen Curry,43.55,2.5,5.0,,35.5,,,,9.5,6.5s,39.5,0.5s,34.5,4.0
Lauri Markkanen,38.45,1.5,,,25.5,23.5,,,,3.0,34.5,0.5s,,8.5
Draymond Green,,2.0,7.0,,15.5,8.5,,2.0,14.5,0.5,22.5,1.5s,15.5,7.0
Klay Thompson,,,,,17.5,,,1.5,,,21.5,0.5,,3.0
John Collins,,,,,17.5,16.5,0.5,,10.0,1.5s,26.5,0.5,,9.0
Jordan Clarkson,,2.5s,4.0,,20.5,,0.5,,7.0,1.5,23.5,,18.5,2.5
Collin Sexton,,,5.5,,25.5,,,,8.5,,28.0,,22.5,2.5
Andrew Wiggins,,,,,,,,1.5,6.0,,18.5,0.5,,4.5
Walker Kessler,,,,,,10.0,0.5,,9.5,,19.5,2.5,,8.0
Kris Dunn,,1.5s,5.0,,,,1.5s,1.5,8.5,,15.5,0.5s,,
Jonathan Kuminga,,,,,23.5,,,1.5,8.5,,29.5,0.5,26.5,5.5
Brandin Podziemski,,,4.5,,15.5,,,1.5s,11.0,,21.5,0.5s,16.5,6.0
Lester Quinones,,,,,,,0.5s,0.5,,1.5s,10.5,0.5s,,
Keyonte George,,,4.0,,16.5,,,0.5,7.0,2.0,19.5,,15.5,
Gary Payton II,,,,,6.5,,,,3.5,0.5s,9.5,,8.5,2.5
Kawhi Leonard,42.25,,,,29.5,,,,10.0,,35.5,,31.5,6.0
Anthony Edwards,40.95,,5.0,,31.5,,1.5s,1.5,10.5,3.5s,36.5,,30.5,5.0
Paul George,,,,,22.5,,,1.5,7.5,3.0,28.0,0.5s,24.5,4.5
Karl-Anthony Towns,,2.5,,,24.5,21.5,0.5,1.5s,9.5,2.5,31.5,,,7.0
James Harden,36.75,2.5,8.5,,25.5,16.5,,1.5,13.5,2.5,30.5,,21.5,5.0
Jaden McDaniels,,,,,11.5,,,,,,14.5,,12.5,2.5
Rudy Gobert,,,,,,,,,13.5,,26.5,1.5,,12.5
Russell Westbrook,,,4.0,,,,,,8.5,0.5,18.5,,14.5,
Mike Conley,,,6.5,,,,,,9.0,2.5s,19.5,0.5s,,
Norman Powell,,,,,,,,0.5,,2.0,15.5,0.5s,,2.5
Ivica Zubac,,,,,,,0.5s,,8.0,,16.5,,,7.0
Terance Mann,,,,,,,,0.5,,,10.5,,,2.5
Mason Plumlee,,,,,6.0,,,,6.0,,11.5,,10.5,5.0
Amir Coffey,,,,,6.5,,,,2.5,,8.5,,7.5,1.5
Shai Gilgeous-Alexander,,3.0,6.5,,37.5,31.5,1.5,2.5,11.5,,43.5,,36.5,5.0
Chet Holmgren,,1.5,,,17.5,14.5,,,9.5,1.5,24.5,2.5,22.5,7.5
Jalen Williams,,,,,23.5,,1.5s,,8.5,,27.5,0.5s,23.5,4.0
Jalen Suggs,,,,,,,,,,,16.5,0.5s,,3.5
Paolo Banchero,,2.5,6.0,,30.5,24.5,,,13.0,,37.5,,31.5,7.0
Franz Wagner,,,,,26.5,,,1.5s,9.5,2.0,31.5,0.5s,27.5,5.5
Wendell Carter Jr.,,1.5s,1.5,,12.5,10.5,,1.5s,8.5,1.5s,19.5,0.5,18.5,
Josh Giddey,,,,,14.5,,,,9.5,,20.5,,16.5,5.5
Markelle Fultz,,,,,11.5,,,1.5s,6.0,0.5s,14.5,0.5s,11.5,
Luguentz Dort,,,,,10.5,,,1.5s,4.5,1.5,14.5,0.5s,13.5,
