Name,BlocksSteals_Line,Points_Line,Steals_Line,Blocks_Line,Turnovers_Line,Rebounds_Line,PointsReboundsAssists_Line,ReboundsAssists_Line,PointsAssists_Line,PointsRebounds_Line,Assists_Line,Threes_Line
Al Horford,,,,,5.5,14.5,0.5,0.5,,,,8.0
Terry Rozier,20.5,,19.5,,,24.5,,0.5,,5.0,,9.0
Payton Pritchard,,,,,2.0,9.5,0.5,,,,,
Sam Hauser,,,,,2.5,8.5,0.5,,,,1.5,
Shai Gilgeous-Alexander,38.5,31.5,37.5,2.5,6.0,45.5,1.5,,,7.0,,13.0
De'Aaron Fox,29.0,,27.5,,3.5,32.5,,0.5,2.5,4.5,2.5,8.5
Domantas Sabonis,28.5,19.5,34.5,,13.5,42.5,,,3.0,8.5,0.5,22.5
Chet Holmgren,20.5,16.5,25.5,,8.5,28.5,0.5,2.5,1.5,,,11.5
Jalen Williams,23.5,,23.5,,4.5,27.5,,0.5,1.5,,1.5,9.5
Keegan Murray,15.5,,18.5,,5.0,20.5,,,,,,7.0
Josh Giddey,15.5,,17.5,1.5,6.0,21.5,0.5,0.5,1.5,4.0,,10.5
Harrison Barnes,,,16.5,,3.0,17.5,,0.5,,,,
Luguentz Dort,,,,1.5,3.5,16.5,0.5,0.5,,,2.0,
Malik Monk,22.5,,20.5,1.5,,25.5,0.5,0.5,2.0,5.0,2.5,8.5
Kevin Huerter,,,15.5,,4.0,18.5,,,,,2.0,6.5
Trey Lyles,,,,0.5,4.5,13.5,0.5,0.5,,,1.5,5.5
Davion Mitchell,,,,0.5,,6.5,0.5,,,,0.5,
Tyrese Haliburton,30.5,,23.5,,3.5,34.5,1.5,0.5,,11.0,,14.5
Pascal Siakam,24.5,,27.5,1.5,6.5,30.5,,0.5,1.5,3.5,,9.5
Myles Turner,18.5,16.5,24.5,2.0,7.5,25.5,0.5,,,,,8.5
Miles Bridges,29.5,25.5,33.5,1.5,7.5,37.5,,0.5,,4.0,2.5,11.5
Nick Richards,12.5,11.5,20.5,1.5,8.5,21.5,0.5,1.5,,,,9.5
Aaron Nesmith,15.5,,18.5,,4.5,20.5,1.5,0.5,,,2.5,6.0
Andrew Nembhard,,,,,,15.5,,0.5,,4.5,,6.5
