date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link,0
2023-10-30,2024.0,3.0,25.041,1.0,18.0,14.0,35.0,1.0,9.0,22.0,0.409,1.0,7.0,0.143,5.0,5.0,1.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,24.0,17.7,4.0,https://www.basketball-reference.com/boxscores/202310300ATL.html,
2023-11-01,2024.0,4.0,25.043,1.0,30.0,9.0,35.267,1.0,7.0,18.0,0.389,1.0,3.0,0.333,8.0,9.0,0.889,0.0,3.0,3.0,10.0,2.0,0.0,3.0,1.0,23.0,19.3,4.0,https://www.basketball-reference.com/boxscores/202311010ATL.html,
2023-11-04,2024.0,5.0,25.046,1.0,19.0,18.0,38.733,0.0,7.0,15.0,0.467,3.0,7.0,0.429,5.0,6.0,0.833,3.0,2.0,5.0,12.0,1.0,0.0,5.0,3.0,22.0,19.8,18.0,https://www.basketball-reference.com/boxscores/202311040NOP.html,
2023-11-06,2024.0,6.0,25.048,1.0,21.0,-9.0,36.417,0.0,5.0,18.0,0.278,1.0,5.0,0.2,11.0,11.0,1.0,1.0,3.0,4.0,11.0,1.0,0.0,7.0,1.0,22.0,14.3,-18.0,https://www.basketball-reference.com/boxscores/202311060OKC.html,
2023-11-09,2024.0,7.0,25.051,1.0,22.0,1.0,34.3,0.0,12.0,27.0,0.444,5.0,15.0,0.333,12.0,13.0,0.923,2.0,2.0,4.0,8.0,3.0,0.0,3.0,1.0,41.0,33.7,1.0,https://www.basketball-reference.com/boxscores/202311090ORL.html,
2023-11-11,2024.0,8.0,25.053,1.0,16.0,-8.0,38.45,1.0,7.0,19.0,0.368,3.0,9.0,0.333,10.0,11.0,0.909,0.0,2.0,2.0,11.0,1.0,0.0,5.0,0.0,27.0,20.4,4.0,https://www.basketball-reference.com/boxscores/202311110ATL.html,
2023-11-14,2024.0,9.0,25.056,1.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/boxscores/202311140DET.html,
2023-11-15,2024.0,10.0,25.057,1.0,20.0,-2.0,34.467,1.0,4.0,12.0,0.333,0.0,4.0,0.0,7.0,9.0,0.778,0.0,1.0,1.0,17.0,2.0,0.0,3.0,0.0,15.0,18.6,1.0,https://www.basketball-reference.com/boxscores/202311150ATL.html,
2023-11-17,2024.0,11.0,25.059,1.0,23.0,-10.0,36.967,1.0,5.0,14.0,0.357,2.0,6.0,0.333,10.0,10.0,1.0,0.0,2.0,2.0,13.0,1.0,0.0,4.0,3.0,22.0,19.7,12.0,https://www.basketball-reference.com/boxscores/202311170ATL.html,
2023-11-21,2024.0,12.0,25.063,1.0,12.0,-5.0,38.817,1.0,13.0,17.0,0.765,5.0,8.0,0.625,7.0,8.0,0.875,0.0,1.0,1.0,8.0,3.0,0.0,3.0,3.0,38.0,35.6,-2.0,https://www.basketball-reference.com/boxscores/202311210ATL.html,
2023-11-22,2024.0,13.0,25.064,1.0,3.0,2.0,39.967,1.0,12.0,31.0,0.387,8.0,16.0,0.5,11.0,13.0,0.846,2.0,2.0,4.0,9.0,2.0,0.0,4.0,0.0,43.0,31.6,-11.0,https://www.basketball-reference.com/boxscores/202311220ATL.html,
2023-11-25,2024.0,14.0,25.067,1.0,30.0,28.0,30.367,0.0,9.0,17.0,0.529,5.0,8.0,0.625,3.0,3.0,1.0,0.0,6.0,6.0,10.0,2.0,0.0,2.0,1.0,26.0,26.1,40.0,https://www.basketball-reference.com/boxscores/202311250WAS.html,
2023-11-26,2024.0,15.0,25.068,1.0,2.0,-10.0,37.267,0.0,12.0,27.0,0.444,6.0,16.0,0.375,3.0,6.0,0.5,1.0,4.0,5.0,7.0,0.0,0.0,5.0,3.0,33.0,18.3,-11.0,https://www.basketball-reference.com/boxscores/202311260BOS.html,
2023-11-28,2024.0,16.0,25.07,1.0,6.0,-23.0,32.267,0.0,3.0,14.0,0.214,2.0,8.0,0.25,5.0,6.0,0.833,0.0,1.0,1.0,10.0,1.0,0.0,3.0,3.0,13.0,8.1,-27.0,https://www.basketball-reference.com/boxscores/202311280CLE.html,
2023-11-30,2024.0,17.0,25.072,1.0,27.0,2.0,39.95,0.0,15.0,29.0,0.517,2.0,9.0,0.222,13.0,16.0,0.813,0.0,4.0,4.0,14.0,2.0,0.0,2.0,1.0,45.0,40.1,-1.0,https://www.basketball-reference.com/boxscores/202311300SAS.html,
2023-12-02,2024.0,18.0,25.074,1.0,17.0,-11.0,36.733,0.0,13.0,28.0,0.464,5.0,13.0,0.385,1.0,2.0,0.5,2.0,0.0,2.0,12.0,2.0,0.0,4.0,0.0,32.0,25.0,-8.0,https://www.basketball-reference.com/boxscores/202312020MIL.html,
2023-12-06,2024.0,19.0,25.078,1.0,3.0,-1.0,37.233,1.0,11.0,24.0,0.458,3.0,9.0,0.333,5.0,5.0,1.0,1.0,0.0,1.0,9.0,0.0,2.0,5.0,2.0,30.0,20.2,3.0,https://www.basketball-reference.com/boxscores/202312060ATL.html,
2023-12-08,2024.0,20.0,25.08,1.0,23.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/boxscores/202312080PHI.html,
2023-12-11,2024.0,21.0,25.083,1.0,8.0,-7.0,26.333,1.0,5.0,12.0,0.417,2.0,5.0,0.4,7.0,7.0,1.0,0.0,1.0,1.0,9.0,1.0,0.0,5.0,2.0,19.0,14.4,-10.0,https://www.basketball-reference.com/boxscores/202312110ATL.html,
2023-12-13,2024.0,22.0,25.085,1.0,28.0,-7.0,39.233,0.0,13.0,27.0,0.481,4.0,9.0,0.444,5.0,6.0,0.833,0.0,4.0,4.0,17.0,0.0,1.0,5.0,3.0,35.0,28.5,0.0,https://www.basketball-reference.com/boxscores/202312130TOR.html,
2023-12-15,2024.0,23.0,25.087,1.0,28.0,21.0,35.967,0.0,15.0,29.0,0.517,7.0,15.0,0.467,1.0,2.0,0.5,1.0,4.0,5.0,11.0,1.0,0.0,8.0,2.0,38.0,25.1,14.0,https://www.basketball-reference.com/boxscores/202312150TOR.html,
2023-12-16,2024.0,24.0,25.088,1.0,6.0,-8.0,38.317,0.0,11.0,21.0,0.524,7.0,12.0,0.583,6.0,6.0,1.0,0.0,4.0,4.0,10.0,0.0,1.0,5.0,3.0,35.0,27.4,-9.0,https://www.basketball-reference.com/boxscores/202312160CLE.html,
2023-12-18,2024.0,25.0,25.09,1.0,9.0,6.0,37.95,1.0,8.0,17.0,0.471,4.0,11.0,0.364,11.0,12.0,0.917,0.0,4.0,4.0,15.0,0.0,0.0,5.0,3.0,31.0,27.4,16.0,https://www.basketball-reference.com/boxscores/202312180ATL.html,
2023-12-20,2024.0,26.0,25.092,1.0,11.0,7.0,36.467,0.0,10.0,18.0,0.556,5.0,8.0,0.625,5.0,7.0,0.714,0.0,4.0,4.0,14.0,1.0,0.0,4.0,4.0,30.0,27.0,11.0,https://www.basketball-reference.com/boxscores/202312200HOU.html,
2023-12-22,2024.0,27.0,25.094,1.0,16.0,-9.0,39.667,0.0,10.0,22.0,0.455,7.0,13.0,0.538,3.0,3.0,1.0,0.0,3.0,3.0,13.0,2.0,0.0,6.0,1.0,30.0,24.2,-11.0,https://www.basketball-reference.com/boxscores/202312220MIA.html,
2023-12-23,2024.0,28.0,25.095,1.0,15.0,-6.0,40.933,1.0,11.0,24.0,0.458,3.0,10.0,0.3,5.0,7.0,0.714,0.0,5.0,5.0,13.0,1.0,1.0,2.0,3.0,30.0,25.9,2.0,https://www.basketball-reference.com/boxscores/202312230ATL.html,
2023-12-26,2024.0,29.0,25.098,1.0,5.0,-5.0,39.517,0.0,6.0,17.0,0.353,3.0,12.0,0.25,6.0,7.0,0.857,0.0,2.0,2.0,13.0,1.0,0.0,6.0,3.0,21.0,14.6,-3.0,https://www.basketball-reference.com/boxscores/202312260CHI.html,
2023-12-29,2024.0,30.0,25.101,1.0,26.0,-7.0,38.483,1.0,7.0,18.0,0.389,3.0,10.0,0.3,7.0,7.0,1.0,1.0,2.0,3.0,9.0,4.0,0.0,4.0,4.0,24.0,20.2,-11.0,https://www.basketball-reference.com/boxscores/202312290ATL.html,
2023-12-31,2024.0,31.0,25.103,1.0,30.0,4.0,39.767,0.0,11.0,19.0,0.579,4.0,8.0,0.5,14.0,19.0,0.737,0.0,3.0,3.0,13.0,3.0,0.0,5.0,2.0,40.0,36.3,-13.0,https://www.basketball-reference.com/boxscores/202312310WAS.html,
2024-01-03,2024.0,32.0,25.106,1.0,21.0,3.0,33.95,1.0,6.0,13.0,0.462,2.0,9.0,0.222,10.0,11.0,0.909,0.0,4.0,4.0,11.0,2.0,0.0,6.0,2.0,24.0,21.0,-9.0,https://www.basketball-reference.com/boxscores/202401030ATL.html,
2024-01-05,2024.0,33.0,25.108,1.0,12.0,-34.0,28.0,0.0,4.0,18.0,0.222,1.0,11.0,0.091,4.0,5.0,0.8,0.0,2.0,2.0,6.0,2.0,0.0,3.0,2.0,13.0,4.6,-28.0,https://www.basketball-reference.com/boxscores/202401050IND.html,
