Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under

Devin Booker,5.5,-138,-104,,,,25.5,-110,-130,,,,1.5,-160,111

Brandin Podziemski,5.5,-128,-112,,,,23.5,-145,101,9.5,-106,-136,,,

Klay Thompson,,,,,,,16.5,-122,-118,3.5,150,-222,2.5,134,-197

Grayson Allen,,,,,,,,,,,,,2.5,122,-177

Eric Gordon,,,,,,,,,,,,,0.5,-151,105

Brandon Ingram,6.5,-108,-120,,,,35.5,-114,-114,5.5,-120,-108,1.5,134,-175

CJ McCollum,4.5,-115,-112,,,,29.5,-109,-119,4.5,-101,-128,2.5,-175,135

Matisse Thybulle,2.5,-114,-114,,,,12.5,-114,-114,2.5,-111,-116,1.5,-114,-114

Jerami Grant,4.5,128,-167,,,,36.5,-105,-123,4.5,105,-135,,,

Deandre Ayton,1.5,-185,140,,,,31.5,-102,-127,10.5,104,-135,,,

Jose Alvarado,2.5,104,-135,,,,7.5,-103,-125,,,,1.5,144,-189

Naji Marshall,2.5,-103,-125,,,,14.5,100,-130,3.5,-122,-106,0.5,-103,-125

Jonas Valanciunas,,,,,,,26.5,-103,-125,10.5,-109,-119,,,

Herbert Jones,,,,,,,16.5,-114,-114,3.5,-118,-110,1.5,135,-175

Jabari Walker,,,,,,,24.5,-112,-115,8.5,-130,100,0.5,-172,131

Toumani Camara,,,,,,,15.5,104,-135,4.5,-130,100,0.5,-143,110

Kris Murray,,,,,,,6.5,-130,100,,,,0.5,-182,138

Larry Nance Jr.,,,,,,,13.5,-118,-110,5.5,-143,110,0.5,134,-175

Trey Murphy III,,,,,,,18.5,-103,-125,3.5,109,-141,2.5,-103,-125

Jayson Tatum,4.5,-106,-129,,,,38.5,-127,-108,7.5,-145,106,3.5,120,-166

Jaylen Brown,3.5,-115,-119,,,,27.5,-111,-123,5.5,-121,-113,1.5,126,-174

Jimmy Butler,4.5,-127,-108,,,,29.5,-123,-111,5.5,-115,-119,0.5,-254,178
Derrick White,3.5,-166,120,,,,20.5,-127,-108,3.5,106,-145,2.5,102,-139

Jrue Holiday,4.5,-101,-135,,,,21.5,-115,-119,4.5,-103,-133,1.5,-121,-113

Kristaps Porzingis,1.5,-135,-101,,,,26.5,-125,-109,6.5,-135,-101,1.5,-129,-106
