Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Dillon Brooks,1.5,-157,114,,,,19.5,-123,-111,2.5,-148,108,1.5,-163,118
Jaren Jackson Jr.,3.5,126,-174,,,,35.5,-123,-111,5.5,-111,-123,1.5,-194,139
Jonas Valanciunas,2.5,120,-166,,,,25.5,-115,-119,9.5,-160,116,0.5,334,-554
Zion Williamson,4.5,-133,-103,,,,31.5,-131,-104,5.5,-108,-127,,,
Vince Williams Jr.,4.5,136,-189,,,,26.5,116,-160,6.5,-123,-111,1.5,-194,139
CJ McCollum,4.5,118,-163,,,,27.5,-123,-111,4.5,-104,-131,3.5,108,-148
Santi Aldama,2.5,110,-151,,,,23.5,-106,-129,6.5,-115,-119,2.5,123,-169
Herbert Jones,2.5,110,-151,,,,17.5,-104,-131,3.5,-131,-104,1.5,108,-148
John Konchar,2.5,-179,129,,,,16.5,102,-139,6.5,114,-157,0.5,-189,136
Brandon Ingram,6.5,-108,-127,,,,36.5,106,-145,5.5,-148,108,1.5,152,-214
Derrick Jones Jr.,1.5,159,-224,,,,14.5,-111,-123,4.5,110,-151,0.5,-184,133
Jordan Poole,4.5,118,-163,,,,20.5,-123,-111,2.5,114,-157,1.5,-131,-104
Josh Green,2.5,-103,-133,,,,15.5,-119,-115,3.5,-117,-117,1.5,104,-142
Kyrie Irving,6.5,104,-142,,,,36.5,-125,-109,5.5,112,-154,2.5,-127,-108
Maxi Kleber,2.5,102,-139,,,,14.5,-104,-131,4.5,-142,104,1.5,114,-157
Luka Doncic,9.5,-142,104,,,,51.5,-133,-103,8.5,-163,118,3.5,-133,-103
Kyle Kuzma,4.5,114,-157,,,,31.5,-133,-103,6.5,-106,-129,2.5,110,-151
Deni Avdija,3.5,-137,100,,,,25.5,-131,-104,7.5,-133,-103,0.5,-244,172
Tyus Jones,7.5,-139,102,,,,24.5,-111,-123,2.5,-157,114,1.5,-125,-109
PJ Washington,,,,,,,18.5,-131,-104,4.5,-154,112,1.5,-104,-131
Tim Hardaway Jr.,,,,,,,18.5,-115,-119,,,,2.5,-133,-103
Corey Kispert,,,,,,,16.5,-123,-111,,,,1.5,-184,133
Daniel Gafford,,,,,,,17.5,-151,110,6.5,-145,106,,,
Landry Shamet,,,,,,,,,,,,,1.5,136,-189
John Collins,1.5,129,-179,,,,26.5,-131,-104,8.5,-133,-103,1.5,133,-184
Lauri Markkanen,1.5,-169,123,,,,34.5,-113,-121,8.5,-123,-111,3.5,123,-169
Walker Kessler,1.5,159,-224,,,,19.5,100,-137,8.5,104,-142,,,
Jordan Clarkson,4.5,102,-139,,,,23.5,-109,-125,,,,1.5,-142,104
Jonathan Kuminga,2.5,-127,-108,,,,29.5,-123,-111,5.5,-125,-109,0.5,-189,136
Keyonte George,3.5,-166,120,,,,19.5,-142,104,,,,1.5,-194,139
Brandin Podziemski,4.5,-104,-131,,,,21.5,-127,-108,6.5,114,-157,0.5,-184,133
Draymond Green,6.5,-163,118,,,,22.5,-133,-103,6.5,-157,114,0.5,-115,-119
Stephen Curry,4.5,-163,118,,,,39.5,-115,-119,4.5,116,-160,5.5,-101,-135
Collin Sexton,5.5,-139,102,,,,28.5,-113,-121,2.5,-117,-117,1.5,-169,123
Andrew Wiggins,1.5,-189,136,,,,18.5,-129,-106,4.5,-101,-135,0.5,-224,159
Klay Thompson,2.5,120,-166,,,,21.5,-106,-129,2.5,-169,123,2.5,-174,126
Kris Dunn,5.5,102,-139,,,,15.5,-115,-119,3.5,110,-151,0.5,-142,104
Lester Quinones,,,,,,,,,,,,,1.5,126,-174
Rudy Gobert,0.5,-224,159,,,,26.5,-127,-108,12.5,-135,-101,,,
Karl-Anthony Towns,2.5,-115,-119,,,,32.5,-113,-121,6.5,-174,126,2.5,-135,-101
James Harden,8.5,-111,-123,,,,30.5,-115,-119,5.5,118,-163,2.5,-139,102
Russell Westbrook,4.5,106,-145,,,,19.5,-111,-123,4.5,100,-137,0.5,-127,-108
Mike Conley,6.5,-113,-121,,,,19.5,-104,-131,2.5,120,-166,2.5,118,-163
Terance Mann,1.5,112,-154,,,,10.5,-127,-108,2.5,-115,-119,0.5,-135,-101
Anthony Edwards,5.5,-101,-135,,,,36.5,-117,-117,4.5,-163,118,2.5,-179,129
Ivica Zubac,0.5,-179,129,,,,16.5,-119,-115,7.5,-103,-133,,,
Paul George,2.5,-151,110,,,,27.5,-151,110,4.5,-111,-123,2.5,-174,126
Kawhi Leonard,3.5,-129,-106,,,,35.5,-121,-113,6.5,104,-142,2.5,-108,-127
Norman Powell,,,,,,,15.5,104,-142,,,,1.5,-184,133
